,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
GLU5K,3.53376255998835,2.7077866475064,1.5163289136706697,4.78141638858712,6.14944151981284,3.76910445075212,5.29754624252052,3.99974909818407,4.20080628290395,3.84891606712697,4.1453639252901615,3.84850533589816,6.59910468703094,5.7163405340658615,4.61546229103639,5.4214581757068805,4.83770901481656,5.8429966671892695,3.1371292267095,2.55935324929211,2.0506598747783897,7.59622342356469,6.094733038632129,6.31813634160424
GLUabc,298.49900212607463,303.3452879436219,346.73387825935976,194.1255053766368,189.5146068378689,160.28116676823402,436.0843747820306,413.8118796715846,396.7069112803909,273.63387664730857,309.98110241336377,277.02366087509756,242.7294446764356,204.93080814626109,361.3635476099661,482.25564678592565,559.6302960331412,551.5481327686293,263.7109241799269,268.0922528633487,284.8708342712986,344.7705276437268,397.4636617336525,305.7091233358679
GLUabcpp,363.4578727140956,365.8439311049857,415.64260333617136,742.434429737865,699.172866131449,468.593910839758,622.9432786091181,564.18082549791,518.638006466218,311.64192281018745,358.6200391367683,307.6742569431436,542.890701431091,523.402430150406,693.948330346412,726.6448161127121,922.252612186306,757.590646822146,327.2858083048766,334.6354373449436,327.9346916416448,438.375603379266,532.592599961611,376.4279125629469
GLUABUTt7,3446.14603533922,3194.45640982849,3317.55918212102,207.154865035537,270.482253515404,208.996841794205,482.558303182324,429.810876064321,492.67917789750396,3365.69668276189,3280.73312967297,3406.6144553655604,171.250033511961,171.061490481921,169.414615859218,240.831337398979,265.35348596164,237.487061907206,3828.0659331309107,4320.8281231174105,4756.50557954848,198.727006339063,188.675521353083,186.662133320378
GLUABUTt7pp,3446.14603533922,3194.45640982849,3317.55918212102,207.154865035537,270.482253515404,208.996841794205,482.558303182324,429.810876064321,492.67917789750396,3365.69668276189,3280.73312967297,3406.6144553655604,171.250033511961,171.061490481921,169.414615859218,240.831337398979,265.35348596164,237.487061907206,3828.0659331309107,4320.8281231174105,4756.50557954848,198.727006339063,188.675521353083,186.662133320378
GLUCYS,51.343491312771796,30.956587889059602,35.044046004833305,1.31488950686146,3.1678941162672203,1.22495894649444,1.92638045182564,3.24303980933844,2.8005375219359703,52.8023172958982,57.5744989623633,40.959092503487504,1.3720910735410905,1.07181385013735,2.98647560008237,1.35536454392672,2.36738951788896,1.46074916679732,57.5567178533029,61.4244779830107,51.9500501610526,0.4900789305525611,2.2637579857776498,1.33013396665352
GLUDC,2378.53400545098,2156.93502329611,2394.78879765721,344.74012161713097,324.336453491947,326.215990212596,600.789903413123,480.40229709,519.499710319122,2585.38908946545,2656.16496492925,2634.85168889885,364.976225561929,351.483488588375,377.789163410419,401.4420358542949,443.216489740428,404.0124669221,3015.4854403677,3267.01442272138,3773.89772288383,441.071037497305,341.305050163399,415.223486590342
GLUDxi,1018.2432882413474,974.5836428335853,1001.9564499554984,264.17325546943783,253.05883587593488,269.8678786738519,508.08284416901415,416.40631151905586,386.58189100877627,821.8037196451578,820.4135804140915,892.7845146188034,283.4348131914878,263.0231188237055,305.84225122661684,394.49579256667033,445.7897392163944,353.5012983649505,666.7359952439327,633.6532086372395,652.9642817940191,475.3765626359843,441.51987484147907,476.2988045591824
GLUDy,505.12017769245136,382.60293495036285,457.76285093813533,51.400226177311524,44.07099755865868,53.709738423217715,201.54755477225842,118.80335834876503,105.55872198066335,206.15756684548884,217.30918888354392,217.37182816867653,65.86037152997221,62.665383104697085,59.18651643799603,100.55110710256352,158.20337778240562,82.26324255121735,155.3839312902846,143.1105025229175,142.52086129709795,77.6775104925809,69.5670242552439,79.47550450754808
GLUN,112.1449941831595,125.2900200143504,114.56707347733962,97.30182350774788,91.123542520863,96.7717567730607,89.8174885663707,86.5891629093362,87.2475151064667,145.23644222049396,129.70383126241208,139.2334251880298,114.2102474547534,99.8215965761252,138.32811984017866,76.5780967318596,75.03595471917599,73.49874755043341,119.787118023948,123.0622354034626,133.4637801834936,97.5257071799596,90.11498135691791,93.8852891462946
GLUNpp,13.303576696426699,15.368518810171402,16.848099040785197,55.8230363367546,43.6983041332155,50.1290891950032,28.4141116644283,26.4848251095972,24.019994899681606,8.53978252393797,13.449402957608099,8.3155204579228,69.25793037874061,55.1626861537356,96.92470811176406,21.6011224188321,28.7174641517834,20.2967252649732,13.764954770255999,13.223325121342599,11.6204059570776,13.722210055471699,12.7989393811275,12.9688061748719
