Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD04128,14,488,counts,,,,
WT-G-R1,PD630_LPD03098,14,955,counts,,,,
WT-G-R1,PD630_LPD05056,14,58,counts,,,,
WT-G-R1,PD630_LPD03997,14,445,counts,,,,
WT-G-R1,PD630_LPD05565,14,171,counts,,,,
WT-G-R1,PD630_LPD04053,14,847,counts,,,,
WT-G-R1,PD630_LPD05225,14,23,counts,,,,
WT-G-R1,PD630_LPD00380,14,16,counts,,,,
WT-G-R1,PD630_LPD00829,14,166,counts,,,,
WT-G-R1,PD630_LPD05719,14,288,counts,,,,
WT-G-R1,PD630_LPD06175,14,246,counts,,,,
WT-G-R1,PD630_LPD03057,14,6,counts,,,,
WT-G-R1,PD630_LPD03099,14,1333,counts,,,,
WT-G-R1,PD630_LPD04403,14,43,counts,,,,
WT-G-R1,PD630_LPD05031,14,194,counts,,,,
WT-G-R1,PD630_LPD04068,14,117,counts,,,,
WT-G-R1,PD630_LPD06279,14,352,counts,,,,
WT-G-R1,PD630_LPD01337,14,89,counts,,,,
WT-G-R1,PD630_LPD02950,14,34,counts,,,,
WT-G-R1,PD630_LPD04533,14,65,counts,,,,
WT-G-R1,PD630_LPD01572,14,9,counts,,,,
WT-G-R1,PD630_LPD06282,14,51,counts,,,,
WT-G-R1,PD630_LPD03241,14,343,counts,,,,
WT-G-R1,PD630_LPD04615,14,0,counts,,,,
WT-G-R1,PD630_LPD04536,14,765,counts,,,,
WT-G-R1,PD630_LPD13088,14,0,counts,,,,
WT-G-R1,PD630_LPD02951,14,42,counts,,,,
WT-G-R1,PD630_LPD03767,14,97,counts,,,,
WT-G-R1,PD630_LPD03487,14,258,counts,,,,
WT-G-R1,PD630_LPD00845,14,12,counts,,,,
WT-G-R1,PD630_LPD02570,14,10322,counts,,,,
WT-G-R1,PD630_LPD03769,14,48,counts,,,,
WT-G-R1,PD630_LPD04568,14,15,counts,,,,
WT-G-R1,PD630_LPD04137,14,184,counts,,,,
WT-G-R1,PD630_LPD02227,14,76,counts,,,,
WT-G-R1,PD630_LPD00441,14,312,counts,,,,
WT-G-R1,PD630_LPD12008,14,32,counts,,,,
WT-G-R1,PD630_LPD06487,14,50,counts,,,,
WT-G-R1,PD630_LPD05214,14,248,counts,,,,
WT-G-R1,PD630_LPD00418,14,1943,counts,,,,
WT-G-R1,PD630_LPD06264,14,691,counts,,,,
WT-G-R1,PD630_LPD00417,14,84,counts,,,,
WT-G-R1,PD630_LPD03768,14,88,counts,,,,
WT-G-R1,PD630_LPD01244,14,13,counts,,,,
WT-G-R1,PD630_LPD06699,14,87,counts,,,,
WT-G-R1,PD630_LPD05447,14,188,counts,,,,
WT-G-R1,PD630_LPD02149,14,70,counts,,,,
WT-G-R1,PD630_LPD02297,14,98,counts,,,,
WT-G-R1,PD630_LPD02126,14,1374,counts,,,,
WT-G-R1,PD630_LPD01440,14,291,counts,,,,
WT-G-R1,PD630_LPD06332,14,255,counts,,,,
WT-G-R1,PD630_LPD07741,14,799,counts,,,,
WT-G-R1,PD630_LPD06561,14,256,counts,,,,
WT-G-R1,PD630_LPD04044,14,198,counts,,,,
WT-G-R1,PD630_LPD00404,14,204,counts,,,,
WT-G-R1,PD630_LPD03926,14,819,counts,,,,
WT-G-R1,PD630_LPD04126,14,168,counts,,,,
WT-G-R1,PD630_LPD02147,14,41,counts,,,,
WT-G-R1,PD630_LPD04319,14,64,counts,,,,
WT-G-R1,PD630_LPD02173,14,3441,counts,,,,
WT-G-R1,PD630_LPD07159,14,51,counts,,,,
WT-G-R1,PD630_LPD02571,14,665,counts,,,,
WT-G-R1,PD630_LPD05411,14,309,counts,,,,
WT-G-R1,PD630_LPD02895,14,224,counts,,,,
WT-G-R1,PD630_LPD05607,14,675,counts,,,,
WT-G-R1,PD630_LPD07919,14,730,counts,,,,
WT-G-R1,PD630_LPD03925,14,1682,counts,,,,
WT-G-R1,PD630_LPD06193,14,25,counts,,,,
WT-G-R1,PD630_LPD15018,14,0,counts,,,,
WT-G-R1,PD630_LPD00153,14,105,counts,,,,
WT-G-R1,PD630_LPD05374,14,60,counts,,,,
WT-G-R1,PD630_LPD04109,14,461,counts,,,,
WT-G-R1,PD630_LPD05516,14,148,counts,,,,
WT-G-R1,PD630_LPD02053,14,1,counts,,,,
WT-G-R1,PD630_LPD07666,14,21,counts,,,,
WT-G-R1,PD630_LPD01788,14,19,counts,,,,
WT-G-R1,PD630_LPD05302,14,22771,counts,,,,
WT-G-R1,PD630_LPD05527,14,398,counts,,,,
WT-G-R1,PD630_LPD07177,14,4,counts,,,,
WT-G-R1,PD630_LPD02875,14,22,counts,,,,
WT-G-R1,PD630_LPD07160,14,21,counts,,,,
WT-G-R1,PD630_LPD04048,14,164,counts,,,,
