,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
TRE6PS,556.144448926919,655.894863474854,628.168291489628,1132.6575691181802,864.9069421160858,1188.83520912349,794.245852346031,825.432949287674,840.626224082475,558.076984932551,590.044289461195,592.371161834476,1663.56164305921,1637.62691863526,1945.6850052952304,1126.44260109059,1163.85926383143,1168.09065876729,549.72629829553,515.797052060031,755.030861624805,987.5954734740241,884.945073024981,1028.12501310624
TREabc,2959.699640016531,2791.91881715547,3168.7965908390397,186.52892507303397,225.70640451881198,138.236652223661,544.035453774593,425.80260676668996,512.650806523286,2533.1194562492897,2787.54157614305,2386.3354681340697,108.82518782062901,97.634416713561,106.775396632056,325.059150600428,428.4806219834311,378.781714547762,2164.16639162686,2365.6234275203,2745.26572055686,561.394178656928,459.72214582349403,522.189977012459
TREpts,41.4580407381885,34.9251790987675,36.1772314470466,11.236682233315301,18.959337979580198,9.810343061034018,59.683214338141,43.2848985602073,58.5309975951783,35.524407665111106,24.6218183381721,34.3497500844937,6.36404607138183,9.00175473245598,3.95464431970576,12.069027868827801,13.7270679811626,16.5942465420924,24.378106354569002,31.072111569881397,29.8038498009792,2.2914048108446003,4.81384445888475,4.063735229668939
TREptspp,120.3294353132789,115.95159460790809,120.0426316197456,178.66324750971327,197.7188103584792,124.85891168588702,277.756497496733,231.5238760197133,256.3254032616433,127.77327273096404,122.22974103592563,113.41898612804519,76.36855285658194,91.40243266801457,55.365020475880655,86.89700065555989,96.08947586813801,94.51505639191768,128.594511020351,140.8602391167954,132.4615546710182,36.662476973513606,37.70844826126395,33.52581564476874
TRPAS1,64.714990420587,88.70995491086941,80.57656095024021,52.8124064965819,54.1695370845148,67.7805520580532,73.456263800789,134.887823420181,115.043684928454,66.4650207927885,55.3990912608871,66.10706620034641,99.2791187135565,78.9384645769217,81.72931594058569,227.702325791884,169.627340052937,203.459892385655,63.3830765218793,60.072749035103996,52.9846218684074,183.31238486756803,131.578415209517,157.469740149671
TRPS1,1216.439585561971,1035.182308487468,1105.0499787461508,794.4334338953929,975.0516675212659,717.938742193853,1239.5744516383143,1120.374234825831,1167.5924865107131,956.294135372103,899.575719998215,845.133473776976,686.6805711020995,580.9594015792752,612.9698695543929,1178.741721855512,1157.976234696642,1128.408764862286,831.9028793496659,727.087410735225,736.81739785754,859.2768040667261,946.722743580668,833.065722082133
TRPS2,1216.439585561971,1035.182308487468,1105.0499787461508,794.4334338953929,975.0516675212659,717.938742193853,1239.5744516383143,1120.374234825831,1167.5924865107131,956.294135372103,899.575719998215,845.133473776976,686.6805711020995,580.9594015792752,612.9698695543929,1178.741721855512,1157.976234696642,1128.408764862286,831.9028793496659,727.087410735225,736.81739785754,859.2768040667261,946.722743580668,833.065722082133
TRPS3,367.055336291767,329.693690692365,328.883922245878,539.360747199135,678.0220391745099,529.758525295837,440.73758280473396,427.81585786251406,422.835999868616,361.546794140082,337.670651494931,327.29478854092997,622.403705781143,492.3267395981701,551.013775212336,729.773885135119,638.308661124059,679.642619245699,346.778562893744,285.86342644290903,221.873104073956,655.341775901556,659.496690867211,665.436643858289
TRPt2r,202.23434506433398,189.992974297295,240.085263239491,71.91476629321801,92.99103866175041,36.5658241365813,82.6382967758876,80.53004383294379,105.961288749892,147.827373832236,232.148572902765,200.26552407751998,15.2737105713164,20.0808374800941,25.046080691469804,31.379472458952197,33.3371650971091,39.681893905003705,156.01988066924102,188.504143523947,153.986557305059,11.457024054223002,30.4876815729368,24.3824113780136
TRPt2rpp,21.2346062317551,27.241639697038607,36.1772314470466,1678.76032565731,2292.27424429305,857.9590931558839,245.619382083888,139.92095115974,111.00706440464899,17.1892295153763,14.948961133890199,27.2205566707309,668.2248374950922,617.6588631808261,493.01232518998495,185.05842732202598,362.786796645011,204.902870345837,18.893032424791,26.929163360563894,18.213463767265,891.356471418551,637.83439080223,938.7228380535248
